AD,[Ad],abbr. 公元 (Anno Domini)壳暗
Africa,[5AfrikE],n.非洲
African,[5AfrikEn],n.非洲人//adj.非洲的
America,[E5merikE],"n.<美>美国, 美洲(包括北美和南美洲)"
American,[E5merikEn],"n.美国人, 美洲人//adj.美国的, 美洲的"
Antarctica,[Ant5B:ktikE],n.南极洲
April,[5eiprEl],n.四月(略作Apr)
As well,[],"倒不如, 还是...的好// 最好...还是(It will be As well to stop that young screamer. 但是最好还是让那个大哭大叫的孩子住声。)"
Asia,[5eiFE],n.亚洲
Asian,[5eiFEn],"adj.亚洲的, 亚洲人的//n.亚洲人"
August,[5C:gEst],n. 八月
Australia,[Cs5treiljE],"n.澳洲, 澳大利亚"
Australian,[Cs5treiliEn],"adj.澳洲的, 澳大利亚的, 澳大利亚人的//n.[地名] 澳大利亚"
BC,[],n.公元前
Bear Country,[],*熊国
Britain,[5britEn],n.英国
British,[5britiF],"adj.大不列颠的, 英国的, 英国人的"
Bush House,[],*布什大厦(BBC办公楼)
Business Weekly,[],*每周商刊
C,[si:],n.字母C
CAAC,[],n.中国民航
Canada,[5kAnEdE],n.加拿大
Canadian,[kE5neidjEn],adj.加拿大的//n.加拿大人
China,[5tFainE],"n.中国, 瓷器"
China Radio International,[],*中国国际广播电台
Chinese,[5tFai5ni:z],"adj.中国的, 中国人的, 中国话的, 汉语的//n.中国人, 中国话, 汉语, 中文"
Christmas,[5krismEs],"n.（纪念耶稣基督生的节日, 12月25日）圣诞节"
Civil Rights Act,[],*民权法案
Coca Cola,[],n.可口可乐
DNA,[],deoxyribonucleic acid 脱氧核糖核酸
December,[di5sembE],"n.十二月(略作Dec)原因, 毁灭, 屠杀"
ENT,[],"ears,nose,throat [医]耳鼻喉科"
East Africa,[],东部非洲
Endeavour,[],*n.奋力号(航船的名字)
England,[5inglEnd],"n.英格兰(英国的主要部分), 英格兰和威尔士, 英国"
English,[5iNgliF],"adj.英文的, 英国人的, 英格兰的//n.英国人, 英语"
Englishman,[5iNgliFmEn],"n.英吉利人, 英国人"
Europe,[5juErEp],n.欧洲
European,[7juErE5pi(:)En],"adj.欧洲的, 欧洲人的//n.欧洲人"
European Union,[],欧洲联盟
February,[5februEri],n.二月(略作Feb)(飞禽)的羽毛
France,[frB:ns],"n.法国, 法兰西"
French,[frentF],"n.法国人, 法语//adj.法国的, 法国人的, 法语的"
Frenchman,[5frentFmEn],n.法国人
Friday,[5fraidi],n.星期五
German,[5dVE:mEn],"n.德国人, 德语//adj.德国的, 德国人的, 德语的"
Germany,[5dVE:mEni],n.德国
Good heavens!,[],*天哪!
Great Barrier Reef,[],*大堡礁
Greek,[gri:k],"adj.希腊的, 希腊人的, 希腊语的//n.希腊人, 希腊语"
Green Park Zoo,[],*绿色动物园
I,[ai],"pron.我//n.字母I, [化]碘元素, 罗马数字1"
India,[5indjE],"n.印度(南亚国家), 南亚次大陆(即印巴次大陆,简称次大陆,含印度、巴基斯坦、孟加拉国、尼泊尔、不丹、锡金等国)//n.执"
Indian,[5indjEn],"adj.印度的, 印度人的, 印第安人的//n.印度人, 印第安人, 印第安语"
January,[5dVAnjuEri],"n.一月(略作Jan), 烙铁, 镣铐"
Japan,[dVE5pAn],n.日本
Japanese,[dVApE5ni:z],"adj.日本的, 日本人的, 日语的//n.日本人, 日语, 日文"
July,[dVu(:)5lai],n.七月(略作Jul):06
June,[dVu:n],n.六月(略作Jun)
League member,[],团员
MRS,[5misiz],"abbr.[军] Muzzle Reference Sight, 炮口基准系统"
Marxism,[5mB:ksizEm],n.马克思主义
May,[mei],n.五月
Miss,[mis],n.小姐；女士(对未婚妇女的称呼)
Monday,[5mQndi; 5mQndei],n.星期一
Mr,[5mistE],n.先生(用于姓名前)=mister
Mrs,[5misiz],n.夫人(对已婚妇女的称呼)
Ms,[miz],*女士
November,[nEu5vembE],n.十一月(略作Nov)
October,[Ck5tEubE],n.十月(略作Oct):09
Olympic,[Eu5limpik],"adj.奥林匹亚的, 奥林匹斯山的"
Olympic Games,[],n.奥运会
PRC,[],"abbr.People's Republic of China, 中华人民共和国"
Paris,[5pAris],"n.巴黎(法国首都) 证件, 论文, 考卷"
Party member,[],党员
Remember me to...,[],请向…致意
Russia,[`rQFE],"n.俄国, 俄罗斯, 苏联"
Russian,[`rQFEn],"n.俄国人, 俄语//adj.俄国的, 俄国人的, 俄语的"
SOS,[esEu5es],"n.(国际通用的船舶, 飞机等的)无线电紧急呼救信号, <口>紧急求救(或求助的表示)vi.爱吃"
Saturday,[5sAtEdi],n.星期六
Scots,[skCts],"n.苏格兰人[语]//adj.苏格兰的, 苏格兰人[语]的"
Scottish,[5skCtiF],"adj.苏格兰的, 苏格兰人的"
September,[sEp5tembE],"n.九月(略作Sep)的, 个别的, 单独的"
Sunday,[5sQndi],n.星期日
TV,[],"n.电视//[域] Tuvalu , 图瓦鲁"
Thursday,[5WE:zdi],n.星期四
Tuesday,[5tju:zdi],n.星期二
UK,[],=United Kingdom 联合王国
Venus,[5vi:nEs],"n.[罗神]维纳斯, [天]金星"
Voting Rights Bill,[],*选举权法案
Wednesday,[5wenzdei; 5wenzdi],n.星期三
X-ray,[5eks5rei],X-rays X光，X射线
a bit (of),[],有一点儿
a few,[],"少许, 少数"
a good\great deal (of),[],大量的；非常多的
a good\great many,[],许多；很多
a kind of,[],"有一点, 有几分, 稍稍"
a little,[],"少量, 少许"
a lot of\lots of,[],许多；很多；大量
a number of,[],adj.许多的
a pair of,[],一双
a piece of,[],一块
a place of interest,[],名胜
a set of,[],"一组, 一套"
a\an,[],art.一(个，件…)；(任何)一个
ability,[E5biliti],"n.能力, 才干"
able,[5eibl],"adj.能...的, 有才能的, 能干的, 能够的"
aborigines,[7AbE5ridVini:z],"n.土著, 原居民, (Aborigines)澳大利亚土著居民,土生动物(或植物)群"
about,[5Ebaut],"adv.附近, 大约, 转向, 左右, 周围//prep.在附近, 关于, 在...周围, 忙于"
above,[E5bQv],"adj.上面的, 上述的, 上文的//adv.在上面//prep.在...上方, 过于, 超出"
above all,[],"adv.最重要, 首先"
abroad,[E5brC:d],"adv.往国外, 到处, 海外, 广泛, 差得远, 心里没有谱"
absence,[5AbsEns],"n.不在, 缺席, 缺乏, 没有"
absent,[5AbsEnt],"adj.不在的, 缺席的, 缺少的//vt.缺席"
accent,[5AksEnt],"n.重音, 口音, 重音符"
accept,[Ek5sept],"vt.接受, 认可, 承担, 承兑//vi.同意, 承认"
accident,[5AksidEnt],"n.意外事件, 事故"
according,[E5kC:diN],adv.依照
according to,[],v.依照
ache,[eik],"n.疼痛//vi.觉得疼痛, 渴望"
achieve,[E5tFi:v],"vt.完成, 达到"
across,[E5krCs],"adv.横过, 交叉地, 在对面//prep.越过, 交叉, 在...的那边, 在...对面那边"
act,[Akt],"n.幕, 法案, 法令, 动作, 举动, 节目, (戏剧的)幕//vi.行动, 产生...的效果, 担当, 表演, 假装, 表现, 见效//vt.扮演, 装作"
action,[5AkFEn],"n.动作, 作用, 战斗, 行动, 举动, 行为, (戏剧或书中)的情节, (某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动//vt.对...起诉"
active,[5Aktiv],"adj.积极的, 能起作用的, 现行的, [语法]主动的, 活动的, 活跃的, 活性的//n.[语法] 主动语态, 积极分子"
actor,[5AktE],"n.男演员, 行动者, 参与者"
actress,[5Aktris],n.女演员
actual,[5AktjuEl],"adj.实际的, 真实的, 现行的, 目前的"
ad,[Ad],*=advertisement
add,[Ad],"vt.增加, 添加, 计算...总和, 补充说, 又说//vi.加, 加起来, 增添, 做加法"
add...to,[],*把…加到…上
address,[E5dres],"n.地址, 致辞, 演讲, 说话的技巧//vt.向...致辞, 演说, 写姓名地址, 从事, 忙于"
admire,[Ed5maiE],"v.赞美, 钦佩, 羡慕"
admit,[Ed5mit],"v.容许, 承认, 接纳"
advance,[Ed5vB:ns],"n.前进, 提升, 预付款//v.前进, 提前, 预付//adj.前面的, 预先的//预付(款项)τ"
advanced,[Ed5vB:nst],"adj.高级的, 年老的, 先进的"
advantage,[Ed5vB:ntidV],"n.优势, 有利条件, 利益"
adventure,[Ed5ventFE],"n.冒险, 冒险的经历//v.冒险"
advertise,[5AdvEtaiz],"v.做广告, 登广告"
advertisement,[Ed5vE:tismEnt],"n.广告, 做广告"
advice,[Ed5vais],"n.忠告, 建议, [商]通知"
advise,[Ed5vaiz],"vt.劝告, 忠告, 警告, 建议"
aeroplane,[5ZErEplein],n.飞机
affair,[E5fZE],"n.事务, 事件, 私事, 恋爱事件, (尤指关系不长久的)风流韵事"
affect,[E5fekt],"vt.影响, 感动, 侵袭, 假装"
afford,[E5fC:d],"vt.提供, 给予, 供应得起"
afraid,[E5freid],"adj.害怕, 担心"
after,[5B:ftE],"adv.prep.conj.在...之后, 在...后面, 模仿, 与...一致, 以...命名, 后来的, 后面的"
after a (short) while,[],*不久以后
after a while,[],"不久, 过一会儿"
after all,[],adv.毕竟
after class,[],课后
after school,[],adv.放学后
afternoon,[5B:ftE5nu:n],"n.午后, 下午//adv.下午的, 晚期"
afterwards,[`B:ftEwEdz],"adv.然后, 后来地"
again,[E5gein],"adv.又, 再次, 此外, 再一次"
again and again,[],"adv.再三地, 反复地"
age,[eidV],"n.年龄, 成年, 使用年限, 同时期的人, 时代//v.变老, 上年纪, 成熟"
ago,[E5gEu],"adv.以前的, 以往的"
agree,[E5gri:],"vi.同意, 赞成...的意见, 与...一致, 承认, 适合//vt.同意"
agree on,[],对...达成协议// 对...取得一致意见
agree to do sth.,[],同意做某事
agree with sb.,[],赞成某人的意见；与某人的意见相同
agreement,[E5gri:mEnt],"n.同意, 一致, 协定, 协议"
agricultural,[7Agri5kQltFErEl],"adj.农业的, 农艺的"
agriculture,[5AgrikQltFE],"n.农业, 农艺, 农学"
ahead,[E5hed],"adj.adv.在前, 向前, 提前, 在前面"
aid,[eid],"n.帮助, 援助, 帮助者, 有帮助的事物//vt.资助, 援助, 帮助"
aim,[eim],"n.目标, 目的, 瞄准//v.对...瞄准, 打算"
air,[ZE],"n.空气, 样子, 天空, 空中, 曲调//vt.晾干, 使通风, 宣扬, 夸耀, 显示"
aircraft,[5ZEkrB:ft],n.航行器
airline,[5ZElain],n.定期航线
airport,[5ZEpC:t],"n.<主美>小型民用机场, 私人飞机降落场"
alive,[E5laiv],"adj.活着的, 活泼的"
all,[C:l],"adj.全部的, 所有的, 整个的//adv.完全, 更加, 越发//pron.全部"
all kinds of,[],各种各类的
all over,[],"adv.全部结束, 到处, 浑身, <口>完全象"
all over the country\world,[],遍及全国\全世界
all right,[],"adv.好, 良好, 顺利, 确实"
all sorts of,[],各种各样的
all the best,[],[口]万事吉利// 一路平安// 一帆风顺(祝酒或送行时用语)玫亩
all the same,[],adv.仍然
all the time,[],adv.始终
all the year round,[],adv.一年到头
allow,[E5lau],"vt.允许, 承认"
almost,[5C:lmEust],"adv.几乎, 差不多"
alone,[E5lEun],"adj.单独的, 独一无二的, 孤独的, 独自的//adv.独自地"
along,[E5lCN],"adv.往前, 向前//prep.顺着, 沿着"
aloud,[E5laud],adv.大声地
already,[C:l5redi],adv.已经
