Alaska,[E5lAskE],"n.阿拉斯加州(美国州名)鞯? 暴风雨的, 恶劣的(天气)vt.弄脏//vi.变"
Albert Einstein,[5AlbEt 5ainstain],阿尔伯特·爱因斯坦
Alexander Bell,[],亚历山大·贝尔
Bhopal,[],n.博帕尔(印度城市)
Bush,[buF],布什(姓氏)
Business Weekly,[],每周商报
California,[kAli5fC:njE],"n.加利福尼亚, 加州"
Charlie Chaplin,[5tFa:li5tFeplin],查理·卓别林
Cousins,[],卡曾斯(姓)
Dean,[di:n],n. 迪安（男子名）
Eskimo,[5eskimEu],n.爱斯基摩人//adj.爱斯基摩人的
Good heavens!,[],天哪！
Green Park Zoo,[],绿园动物园
Haiti,[5heiti],n.海地
Hitler,[5hitlE],"n.希特勒(纳粹德国独裁者,1889-1945)? 标准, 控制"
Jew,[dVu:],"n.犹太人, 犹太教徒"
Joe,[dVEu],n.乔
Kew Gardens,[],凯尤·加登斯
Lake Baikal,[],贝加尔湖
Latin America,[],"n.拉丁美洲(美国以南的所有美洲), 南美洲"
Mark Twain,[5mB:k5twein],"n.马克·吐温(1835-1910,美国小说家)望, 切望"
Ottawa,[5CtEwE],n.渥太华(加拿大城市)注意到
Russia,[`rQFE],"n.俄国, 俄罗斯, 苏联"
South Asia,[],南亚
Swiss,[swis],"n.瑞士人//adj.瑞士的, 瑞士人的"
Switzerland,[5switsElEnd],"n.瑞士(欧洲中部国家)捌? 薄雾, 轻烟, 电影"
Syd,[],西德(男名)
The Gold Rush,[],淘金热
Tod,[],托德(男名)
a great deal of,[],很多
a type of,[],一类
accent,[5AksEnt],"n.重音, 口音, 重音符"
act,[Akt],"n.幕, 法案, 法令, 动作, 举动, 节目, (戏剧的)幕//vi.行动, 产生...的效果, 担当, 表演, 假装, 表现, 见效//vt.扮演, 装作"
actress,[5Aktris],n.女演员
add,[Ad],"vt.增加, 添加, 计算...总和, 补充说, 又说//vi.加, 加起来, 增添, 做加法"
add to,[],增加
advance,[Ed5vB:ns],"n.前进, 提升, 预付款//v.前进, 提前, 预付//adj.前面的, 预先的//预付(款项), 裁决//vi.统治, 管辖, 裁定//n.规则, 水线"
advanced,[Ed5vB:nst],"adj.高级的, 年老的, 先进的"
advertisement,[Ed5vE:tismEnt],"n.广告, 做广告"
afford,[E5fC:d],"vt.提供, 给予, 供应得起"
agreement,[E5gri:mEnt],"n.同意, 一致, 协定, 协议"
agricultural,[7Agri5kQltFErEl],"adj.农业的, 农艺的"
aid,[eid],"n.帮助, 援助, 帮助者, 有帮助的事物//vt.资助, 援助, 帮助"
all the year round,[],adv.一年到头
altogether,[7C:ltE5geTE],"adv.完全地, 总而言之"
anxious,[5ANkFEs],"adj.观念的, 担忧的, 渴望的, 盼望的"
apologize,[E5pClEdVaiz],"vi.道歉, 辩白"
appearance,[E5piErEns],"n.出现, 露面, 外貌, 外观"
area,[5ZEriE],"n.范围, 区域, 面积, 地区, 空地"
as if,[],adv.好象
as well as,[],"adv.也, 又"
assistant,[E`sistEnt],"n.助手, 助教//adj.辅助的, 助理的"
at the bottom,[],在底端
at the end,[],最后
attack,[E5tAk],"n.进攻, 攻击, (用语言)抨击, 批评, 疾病发作, 侵袭//vt.攻击, 抨击, 动手处理(某事)//vi.攻击"
attract,[E5trAkt],"vt.吸引//vi.有吸引力, 引起注意"
attribute,[E5tribju(:)t],"n.属性, 品质, 特征, 加于, 归结于"
average,[5AvEridV],"n.平均, 平均水平, 平均数, 海损//adj.一般的, 通常的, 平均的//vt.平均为, 均分, 使平衡, 达到平均水平//vi.买进, 卖出"
avoid,[E5vCid],"vt.避免, 消除"
awake,[E5weik],"vi.醒, 觉醒, 领会, 觉悟//vt.唤醒//adj.警觉的, 醒的"
baby-sitter,[],n.代人临时照看婴孩者
baggage,[5bAgidV],"n.行李, [军] 辎重"
bank,[bANk],"n.银行, 堤, 岸, 沙洲, 浅滩, 一堆(土), (云)层, 储藏所(库)//vt.存(款)于银行, 储蓄, (车或飞机)倾斜转弯"
basic,[5beisik],"n.基本, 要素, 基础//adj.基本的, 碱性的//n.[计]BASIC语言, 基本高级语言"
bath,[bB:W],"n.沐浴, 浴室"
be after,[],"追赶, 寻找"
be anxious about,[],"v.渴望, 担忧"
be famouse for,[],因…而著名
be fit for,[],适合于
be uncertain about,[],对…不确定
