Abe,[eib],"n.亚伯, Abraham 的昵称"
April,[5eiprEl],n.四月(略作Apr):33
August,[5C:gEst],n. 八月
December,[di5sembE],n.十二月(略作Dec)4
February,[5februEri],"n.二月(略作Feb), 天生就...的"
French,[frentF],"n.法国人, 法语//adj.法国的, 法国人的, 法语的"
January,[5dVAnjuEri],n.一月(略作Jan)
Japanese,[dVApE5ni:z],"adj.日本的, 日本人的, 日语的//n.日本人, 日语, 日文"
July,[dVu(:)5lai],n.七月(略作Jul)低橙掌
Lenin,[5lenin],"n.列宁(俄国无产阶级革命领袖,1870-1924)回的, 回程的, 报答的, 反"
Lincoln,[5liNkEn],n.林肯
London,[5lQndEn],n.伦敦
MRS,[5misiz],"abbr.[军] Muzzle Reference Sight, 炮口基准系统"
Mrs.,[5misiz],n.夫人
Mrs. Black,[],布莱克夫人
November,[nEu5vembE],n.十一月(略作Nov)3
October,[Ck5tEubE],n.十月(略作Oct):34
Part of it was gone.,[],它的一部分已经没有了
September,[sEp5tembE],n.九月(略作Sep)素
a bit,[],有点儿
a bottle of,[],一瓶
a few,[],"少许, 少数"
a little,[],"少量, 少许"
a lot,[],非常多
a moment ago,[],刚才
a pile of,[],一堆
a telephone call,[],一个电话
about,[5Ebaut],"adv.附近, 大约, 转向, 左右, 周围//prep.在附近, 关于, 在...周围, 忙于"
add,[Ad],"vt.增加, 添加, 计算...总和, 补充说, 又说//vi.加, 加起来, 增添, 做加法"
afraid,[E5freid],"adj.害怕, 担心"
after a while,[],"不久, 过一会儿"
again,[E5gein],"adv.又, 再次, 此外, 再一次"
ago,[E5gEu],"adv.以前的, 以往的"
air,[ZE],"n.空气, 样子, 天空, 空中, 曲调//vt.晾干, 使通风, 宣扬, 夸耀, 显示"
always,[5C:lwEz; 5C:lweiz],"adv.总是, 永远, 始终"
angry,[5ANgri],"adj.生气的, 愤怒的, 狂暴的(风雨等) 零"
answer,[5B:nsE],"n.答案, 回答, 答辩, 抗辩//v.回答说, 答复说, 符合, 反响, 响应"
around,[E5raund],"adv.周围, 四周, 到处, 大约, 左右//prep.在...周围, 四处"
artist,[5B:tist],"n.艺术家, 画家"
as,[As],"adv.同样地, 被看作, 象//prep.当做//conj.与...一样, 当...之时, 象, 因为//[域] American Samoa, 东萨摩亚//abbr.[军] Air to Surface, 空对地"
as...as,[],与…一样
assistant,[E`sistEnt],"n.助手, 助教//adj.辅助的, 助理的"
at all,[],adv.根本
at first,[],adv.起先
at last,[],adv.终于
at night,[],adv.在晚上
at noon,[],adv.在中午
at once,[],adv.立刻
at the foot of,[],在.之底部
at work,[],"adv.在工作, 在运转"
aunt,[B:nt],"n.姑妈, 伯母, 舅妈, 阿姨"
away,[E5wei],"adv.在远处, 到远处, 离去"
bat,[bAt; bB:t],"n.蝙蝠, 球棒//v.用球棒击球//[计] 批处理文件的扩展名//abbr.[军] Basic Armor Training, 装甲兵基础训练"
be afraid,[],恐怕，害怕
be born,[],出生于...
be surprised,[],感到惊奇
bear,[bZE],"n.熊//v.负担, 忍受, 带给, 具有, 挤, 向"
beast,[bi:st],"n.兽, 畜牲, 人面兽心的人"
become,[bi5kQm],"vi.变成, 成为, 变得//vt.适合, 相称"
before,[bi5fC:],"adv.在前, 以前//prep.在...之前//conj.在...之前, 与其...宁可"
between,[bi5twi:n],"prep.在...之间, 连接...,由...协力合作"
biology,[bai5ClEdVi],"n.生物学, 生物(总称), 方面, 季, 季度, 一刻钟"
bit,[bit],"n.小块, 少量, 片刻, 马嚼子, 辅币//vt.上马嚼子, 控制//vbl.咬//n.[计]位, 比特"
born,[bC:n],"adj.天生的, 原本, 天生就...的//vbl.出生"
borrow,[5bCrEu],"v.借, 借入, 借用"
bottle,[5bCtl],n.瓶子//vt.用瓶装
breath,[breW],"n.呼吸, 气息, 气味, 空气, 微风, 暂停, 瞬间"
bring,[briN],"vt.拿来, 带来, 产生, 引起, 提出(诉讼)//vi.停下"
bring out,[],"v.使显示, 出版, 生产, 说出"
brought,[brC:t],"vbl.带来, 使得"
brush,[brQF],"n.刷子, 毛刷, 画笔//vt.刷, 掸, 拂"
buy,[bai],"v.买//n.购买, 买卖"
by,[bai],"prep.在附近, 在旁边, 经, 由, 依据, 按照, 通过, 用//adv.通过, 经过, 附近//[域] Belarus, 白俄罗斯"
by the way,[],"adv.在途中, 顺便"
bye-bye,[5baibai],int.再见
call,[kC:l],"n.喊声, 叫声, 命令, 号召, 访问, 叫牌, 通话, 必要//v.呼叫, 召集, 称呼, 认为, 命名, 打电话"
capital,[5kApitEl],"n.首都, 首府, 大写字母, 资本, 资金, 资产//adj.首都的, 重要的, 死罪的, 大写的, <口>极好的"
care,[kZE],"n.注意, 照料, 烦恼, 忧虑, 由...转交//vi.关心, 顾虑, 照顾, 喜爱//vt.在意"
careful,[5kZEful],"adj.小心的, 仔细的"
carefully,[5keEfuli],"adv.小心地, 谨慎地"
carriage,[5kAridV],"n.马车, 客车, 运费, 姿态, （机械）车架"
chalk,[tFC:k],"n.粉笔, 白垩//vt.用粉笔写, 和以白垩"
cheap,[tFi:p],"adj.便宜的, 不值钱的"
cinema,[5sinimE],"n.电影院, 电影"
classmate,[5klB:smeit],n.同班同学
clothes,[klEuTz],"n.衣服, [总称]被褥, 各种衣服, <美俚>家丑"
cloudy,[5klaudi],"adj.多云的, 阴天的, 阴沉"
come at,[],"v.袭击, 达到, 得到//到达,攻击"
could,[kud],vbl.can 的过去式
cover,[5kQvE],"n.盖子, 封面, 藉口//vt.覆盖, 铺, 掩饰, 保护, 掩护, 包括, 包含, 适用//vi.覆盖, 涂, 代替"
cry,[krai],"vi.哭, 流泪//v.叫, 喊//n.哭泣, 哭声, 叫喊, 喊声"
cut,[kQt],"v.切(割、削), (直线等)相交, 剪, 截, 刺穿, 刺痛, 删节, 开辟//n.(刀、剑、鞭等的)切削, 削减, 删节, 伤口, 切口"
date,[deit],"n.日期, 日子, (历史上某一)年代, 时期, 约会, 枣椰子//vt.约会, 定日期//vi.注明...的日期, 过时//[计] 显示或设置系统日期"
