(be) good at,[],在…方面(学得)好，善于
China,[5tFainE],"n.中国, 瓷器"
Chinese,[5tFai5ni:z],"adj.中国的, 中国人的, 中国话的, 汉语的//n.中国人, 中国话, 汉语, 中文"
English,[5iNgliF],"adj.英文的, 英国人的, 英格兰的//n.英国人, 英语"
Good morning.,[],早上好。(你好。)
Grace,[greis],n. 格雷斯（女子名）
Green,[],格林(姓)
How are you?,[],你好吗？(问候健康)
How do you do?,[],你好？(问候语)
I,[ai],"pron.我//n.字母I, [化]碘元素, 罗马数字1"
Jack,[],n. 杰克（男子名）
Joan,[],琼(女子名)09:33:32
Kate,[keit],n.Catherine 的昵称
Kate's,[],凯特的
Mike,[maik],n. 迈克（男子名）
Mister,[5mistE],n.(姓名前)先生 ＝Mr.
Monday,[5mQndi; 5mQndei],n.星期一
Paul,[pC:l],n.保罗
Rose,[],罗斯(女名)
That's all right.,[],没什么(表示""不用谢)""
Tom,[],n. 汤姆（男子名）
Where are you going?,[],你到哪里去？
White,[],怀特(姓)
Young Pioneer,[],少先队员
a,[ei],art.一//n.字母A
a teacher of English,[],一位英语教师
afternoon,[5B:ftE5nu:n],"n.午后, 下午//adv.下午的, 晚期"
all,[C:l],"adj.全部的, 所有的, 整个的//adv.完全, 更加, 越发//pron.全部"
all right,[],"adv.好, 良好, 顺利, 确实"
am,[Am;Em],"prep.是, 在//n.A.M.上午, 午前//[域] Armenia , 亚美尼亚//abbr.[军] Amplitude Modulation, 调幅"
an,[An; En],"art.一（在元音字母前代替不定代词a）//[域] Netherlands Antilles , 荷兰属地"
and,[And; End; nd],"[连接并列的名词、代词或数词]同, 和, 与, 如： Father and I went to Xinhua bookstore yesterday. 父亲和我昨天到新华书店去过。"
any,[5eni],"adj.任何的, 任何一种, 所有的//pron.无论那一个, 任何"
apple,[5Apl],"n.苹果, 似苹果的果实"
are,[B:; E],"prep.是, 在, 公亩"
ask,[B:sk],"vi.询问, 问, 要求//vt.问, 要求, 需要, 邀请"
at,[At; Et],"prep.在, 于, 向, 对准, 在...方面//[域] Austria , 奥地利"
baby,[5beibi],n.婴孩
back,[bAk],"adj.后面的, 在后面, 早过去的, 前(欠)的钱//adv.向后地//n.背部, 后面//v.后退, 支持"
bag,[bAg],"n.袋子, 猎获物"
ball,[bC:l],"n.球, 球状物, 子弹, 舞会, 尽情地玩"
banana,[bE5nB:nE],n.香蕉
basket-ball,[5ba:skit bC:l],n.篮球
bed,[bed],"n.床, 基础, 路基, 河底, 海底, 一堆, 一层//vt.安置, 嵌入, 使睡, 栽种//vi.上床, 分层"
bee,[bi:],n.蜜蜂
begin,[bi5gin],"v.开始, 首先"
behind,[bi5haind],adv.在后地//prep.在...之后
beside,[bi5said],"prep.在旁边, 和...比较"
big,[big],"adj.大的, 重要的, 量大的, 重要的//adv.夸大地, 顺利"
bigger,[],"adj.大的,长大的"
bike,[baik],"n.脚踏车, 自行车"
black,[blAk],"n.黑色, 黑颜料, 黑人//adj.黑色的, 弄脏了的, 忧郁的//vt.(使)变黑, 涂黑"
blackboard,[5blAkbC:d],n.黑板
blue,[blu:],"n.蓝色//adj.蓝色的, 忧郁的, 沮丧的"
book,[buk],"n.书, 书籍, 卷, 篇, 帐簿, 名册, 工作簿//v.登记, 预订, 控告"
box,[bCks],"n.盒子, 箱, 包厢, 岗亭, 一拳//v.装...入盒中, 打耳光, 拳击"
boy,[bCi],"n.男孩, 儿子, 孩子气的人, 男仆"
brother,[5brQTE],n.兄弟
bus,[bQs],n.公共汽车
bus-driver,[5bQs5draivE],n.公共汽车司机
but,[bEt; bQt],"prep.除...以外//conj.而是, 但是//adv.几乎, 仅仅"
cake,[keik],"n.蛋糕, 饼, 块"
cap,[kAp],"n.帽子, 军帽, (瓶)帽, (笔)帽//vt.戴帽子, 盖在...顶上"
car,[kB:],"n.汽车, 小汽车, 车辆, 客车, [铁]车厢"
chair,[tFZE],"n.椅子, 教授职位, 主席位, 讲座//vt.使入座, 使就任要职"
chick,[tFik],"n.即将孵出或刚孵出的小鸟, (尤指)小鸡"
class,[klB:s],"n.班级, 阶级, 社会等级, 种类, (一节)课//vt.把...分类(或分等级)装"
classmate,[5klB:smeit],n.同班同学
classroom,[5klB:srum],n.教室
close,[klEuz],"v.关, 关闭, 结束, 停止, 使靠近, 靠拢, 会合, 包围//n.结束//adj.近的, 紧密的, 精密的, 齐根的, 封闭的, 亲密的, 闷气的//adv.接近, 紧密地"
coat,[kEut],"n.外套, (动物的)皮毛, (植物的)表皮, (漆等的)层, 涂层//vt.涂上, 包上"
cock,[kCk],"n.公鸡, 雄鸟, 头目, (水)龙头, <俚>阴茎//vt.使耸立, 使竖起, 堆成锥形//vi.大摇大摆地走, 翘起"
colour,[5kQlE],"n.<英>(=color)颜色, 气色, 风格, 外貌//vt.把...涂颜色, 粉饰, 脸红, 歪曲//vi.变色"
come,[kQm],"vi.来, 来临, 到达, 出现, 来(自), 出生(于), 开始//int.嗨!//vbl.来, 到达, 合计为"
come on,[],"v.突然产生, 要求, 成为...负担, 偶遇, 跟着来, 开始, 出台, 上演//快点,赶快"
cow,[kau],"n.母牛, 大型母兽//vt.威吓"
cup,[kQp],"n.杯子, 酒杯, 奖杯//vt.使成杯状, 为...拔火罐"
