Alice,[5Alis],n.艾丽丝(女子名)喑
Alice Green,[],艾丽斯·格林
American,[E5merikEn],"n.美国人, 美洲人//adj.美国的, 美洲的"
Betty,[5beti],n.贝蒂
Can I help you?,[],要我帮忙吗？
Excuse me.,[],对不起。
Friday,[5fraidi],n.星期五
Happy birthday.,[],(祝你)生日快乐。
Here you are.,[],给你。
Here's a ...,[],这儿有…
How slow he is!,[],他(是)多么慢啊！
I see.,[],(我)明白了。
I'm coming.,[],我就来。
It's time to get up.,[],(是)该起床(的时候)了
John,[dVCn],n.约翰
June,[dVu:n],n.六月(略作Jun):02
MMM,[],"=megamegamega兆兆兆,百亿亿"
MRS,[5misiz],"abbr.[军] Muzzle Reference Sight, 炮口基准系统"
March,[mB:tF],n. 三月
Mary,[5mZEri],n.玛丽(女子名)3:59
May,[mei; me],"梅(姓氏, 女子名, Mary的昵称)// 五月"
May 2nd,[],五月二日
Mmm,[m],interj.毋
Mr.,[5mistE],n.先生(用于姓名前) =mister
Mrs.,[5misiz],n.夫人
OK,[],adj.1.很好的 2.还不错的
Peter,[5pi:tE],n. 彼得（男子名）
Russian,[`rQFEn],"n.俄国人, 俄语//adj.俄国的, 俄国人的, 俄语的"
Sandy,[5sAndi],n. 桑迪（男子名）
Saturday,[5sAtEdi],n.星期六
Sue,[sju:; su:],"休 (女子名, Susan, Susanna, Susannah 的爱称)取决于"
Sunday,[5sQndi],n.星期日
TV set,[],n.电视机
Thursday,[5WE:zdi],n.星期四
Tuesday,[5tju:zdi],n.星期二
Wednesday,[5wenzdei; 5wenzdi],n.星期三
Will you please...?,[],请你…好吗？
a cup of,[],一(茶)杯
a glass of,[],一玻璃杯
a lot of,[],adj.许多的
a piece of,[],一块
about,[5Ebaut],"adv.附近, 大约, 转向, 左右, 周围//prep.在附近, 关于, 在...周围, 忙于"
after,[5B:ftE],"adv.prep.conj.在...之后, 在...后面, 模仿, 与...一致, 以...命名, 后来的, 后面的"
ah,[B:],"int.啊, 哈//abbr.[军] Attack Helicopter, 攻击直升机"
aha,[E5hB:],int.啊哈
all,[C:l],"adj.全部的, 所有的, 整个的//adv.完全, 更加, 越发//pron.全部"
all kinds of,[],各种各类的
also,[5C:lsEu],"adv.也, 同样"
animal,[5AnimEl],n.动物
another,[E5nQTE],"adj.另外的, 又一, 不同的//prep.另一个, 另一个人, 同类的东西"
arm,[B:m],"n.臂, 臂状物, 衣袖, 海湾, 武器//vt.供给, 提供, 武装, 装备//vi.武装起来"
ask,[B:sk],"vi.询问, 问, 要求//vt.问, 要求, 需要, 邀请"
asleep,[E5sli:p],"adj.睡着的, 睡熟的"
autumn,[5C:tEm],"n.秋天, 成熟期, 渐衰期"
bad,[bAd],"adj.劣质的, 有害的, 坏的, 不利的, 不健康的, 严重的"
be,[bi:; bi],"prep.是, 在, 存在//[域] Belgium , 比利时//abbr.[军] Base Ejection, 弹底喷射"
beautiful,[5bju:tEful; -tiful],"adj.美丽的, 很好的"
