Arab,[5ArEb],adj.阿拉伯的//n.阿拉伯人
Bob,[bCb],n. 鲍勃（男子名）
British,[5britiF],"adj.大不列颠的, 英国的, 英国人的"
Egypt,[5i:dVipt],n.埃及
Egyptian,[i5dVipF(E)n],"adj.埃及的, 埃及人的//n.埃及人"
Florence Nightingale,[],弗洛伦斯·南丁格尔
France,[frB:ns],"n.法国, 法兰西"
Frenchman,[5frentFmEn],n.法国人
Germany,[5dVE:mEni],n.德国
Hill,[hil],"希尔(①姓氏 ②Archibald Vivian, 1886-1977, 英国生理 学家, 曾获1922年诺贝尔生理学-医学奖)? 变化, 流通, 宣判, 被忽略, 终止, 传递"
Howe,[hau],"豪(①姓氏 ②Elias, 1819-1867, 美国缝纫机发明人)删节, 开辟"
It doesn't matter.,[],没有关系。
Never mind.,[],不要紧。
Paris,[5pAris],"n.巴黎(法国首都)刈? 复述, 向他人转述, 复制, 使再现//vi.重复, 留"
Salt Lake City,[],盐湖城
Washington,[5wCFiNtEn],n.华盛顿
What if...?,[],如果…怎么办呢？
a chemist's shop,[],药房
a great deal,[],n.大量
a group of,[],"一群(人、虫、兽等)? [地]界, [化]基"
a pair of,[],一双
across,[E5krCs],"adv.横过, 交叉地, 在对面//prep.越过, 交叉, 在...的那边, 在...对面那边"
against,[E5genst; E5geinst],"prep.相反, 反对, 逆着, 靠着, 倚着"
age,[eidV],"n.年龄, 成年, 使用年限, 同时期的人, 时代//v.变老, 上年纪, 成熟"
alive,[E5laiv],"adj.活着的, 活泼的"
all along,[],"adv.自始自终, 一直"
almost,[5C:lmEust],"adv.几乎, 差不多"
ant,[Ant],n.蚂蚁
anyone,[5eniwQn],pron.任何一个
apologize,[E5pClEdVaiz],"vi.道歉, 辩白"
as,[As],"adv.同样地, 被看作, 象//prep.当做//conj.与...一样, 当...之时, 象, 因为//[域] American Samoa, 东萨摩亚//abbr.[军] Air to Surface, 空对地"
at the age of,[],adv.在...岁
attention,[E5tenFEn],"n.注意, 关心, 关注, 注意力, (口令)立正!"
bat,[bAt; bB:t],"n.蝙蝠, 球棒//v.用球棒击球//[计] 批处理文件的扩展名//abbr.[军] Basic Armor Training, 装甲兵基础训练"
be busy doing,[],忙着做
be interested in,[],对...感兴趣
be made of,[],"用...造成(用于原材料显而易见的场合)体, 大量"
be on,[],"已经开始了, 接受打赌"
be on show,[],展览
be put in prison,[],被关进监狱
be satisfied with,[],对...感到满意
be worth (doing),[],值得(做)
beat,[bi:t],"n.敲打, 拍子, 巡逻区域//v.打, 打败"
bedtime,[],n.就寝时间
beg,[beg],"v.请求, 乞求"
below,[bi5lEu],"prep.在...下面, adv.在下, 在页底"
blind,[blaind],"adj.瞎的, 盲目的//vt.使失明, 缺乏眼光或判断力"
blood,[blQd],"n.血, 血液, 血统//v.使(某人)先取得经验"
blow,[blEu],"n.殴打, 突然的打击//v.风吹, 吹气于, 叫, 喘气"
body,[5bCdi],"n.身体, 肉体, 人, 尸体, 主要部分, 团体, 大量//vt.赋以形体"
boot,[bu:t],"n.<美> (长统)靴, 靴子//v.导入"
boss,[bCs],"n.老板, 上司//vt.指挥"
bottom,[5bCtEm],"n.底, 底部, 尽头, 末端//adj.底部的//vt.装底, 查明真相, 测量深浅//vi.到达底部, 建立基础"
boyhood,[`bCihud],n.少年时代
