Bye-bye!,[],再见！
Christmas,[5krismEs],"n.（纪念耶稣基督生的节日, 12月25日）圣诞节"
English,[5iNgliF],"adj.英文的, 英国人的, 英格兰的//n.英国人, 英语"
Excuse me.,[],劳驾；对不起；请问
Good morning!,[],早上好！你好！
How are you?,[],你身体好吗?
How do you do?,[],你好!
Hurry up!,[],快点！
I,[ai],"pron.我//n.字母I, [化]碘元素, 罗马数字1"
Mr.,[5mistE],n.先生
Nice to see you.,[],见到你\您很高兴。
No,[],[化]元素锘(nobelium)的符号
No.,[5nQmbE],n.数子；号码
TV,[],"n.电视//[域] Tuvalu , 图瓦鲁"
You're welcome.,[],欢迎你；不用谢
a,[ei],art.一//n.字母A
am,[Am;Em],"prep.是, 在//n.A.M.上午, 午前//[域] Armenia , 亚美尼亚//abbr.[军] Amplitude Modulation, 调幅"
and,[And; End; nd],"[连接并列的名词、代词或数词]同, 和, 与, 如： Father and I went to Xinhua bookstore yesterday. 父亲和我昨天到新华书店去过。"
are,[B:; E],"prep.是, 在, 公亩"
aunt,[B:nt],"n.姑妈, 伯母, 舅妈, 阿姨"
bag,[bAg],"n.袋子, 猎获物"
be,[bi:; bi],"prep.是, 在, 存在//[域] Belgium , 比利时//abbr.[军] Base Ejection, 弹底喷射"
bed,[bed],"n.床, 基础, 路基, 河底, 海底, 一堆, 一层//vt.安置, 嵌入, 使睡, 栽种//vi.上床, 分层"
beside,[bi5said],"prep.在旁边, 和...比较"
bike,[baik],"n.脚踏车, 自行车"
birthday,[5bE:Wdei],n.生日
black,[blAk],"n.黑色, 黑颜料, 黑人//adj.黑色的, 弄脏了的, 忧郁的//vt.(使)变黑, 涂黑"
blue,[blu:],"n.蓝色//adj.蓝色的, 忧郁的, 沮丧的"
book,[buk],"n.书, 书籍, 卷, 篇, 帐簿, 名册, 工作簿//v.登记, 预订, 控告"
box,[bCks],"n.盒子, 箱, 包厢, 岗亭, 一拳//v.装...入盒中, 打耳光, 拳击"
boy,[bCi],"n.男孩, 儿子, 孩子气的人, 男仆"
brother,[5brQTE],n.兄弟
brown,[braun],"n.褐色//adj.褐色的, 棕色的//v.(使)成褐色, 晒黑"
bus,[bQs],n.公共汽车
bye,[bai],"n.枝节的问题, 不重要或次要的东西//adj.附属的"
bye-bye,[5baibai],int.再见
cake,[keik],"n.蛋糕, 饼, 块"
can,[kAn; kEn],"vt.装进罐中, 把食品装罐//n.罐头, 铁罐//conj.能, 可以"
can't,[kB:nt],"(=can not)不能, 不会"
cap,[kAp],"n.帽子, 军帽, (瓶)帽, (笔)帽//vt.戴帽子, 盖在...顶上"
car,[kB:],"n.汽车, 小汽车, 车辆, 客车, [铁]车厢"
cat,[kAt],n.猫
chair,[tFZE],"n.椅子, 教授职位, 主席位, 讲座//vt.使入座, 使就任要职"
circle,[5sE:kl],"n.圆周, 圆形物, 派系, 循环//v.围, 环绕//盘旋"
colour,[5kQlE],"n.<英>(=color)颜色, 气色, 风格, 外貌//vt.把...涂颜色, 粉饰, 脸红, 歪曲//vi.变色"
come,[kQm],"vi.来, 来临, 到达, 出现, 来(自), 出生(于), 开始//int.嗨!//vbl.来, 到达, 合计为"
come out,[],"v.出来, 长出, 传出, 褪去, 被展出, 被解出, 露出, 罢工//出现,真相大白"
count,[kaunt],"v.数, 计算, 计算在内, 认为, 有价值//n.计数, 计算, 注意, 伯爵"
desk,[desk],"n.书桌, 办公桌"
dog,[dCg],"n.狗, 犬, 类似犬的动物, 卑鄙的人, 小人, 坏蛋//vt.跟踪, 尾随"
dress,[dres],"n.女服, 童装, 服装, 衣服//v.(给...)穿衣"
egg,[eg],"n.蛋, 鸡蛋, 卵//v.怂恿, 怂恿"
eight,[eit],"adj.八的//num.八, 八个, 第八//n.八字形"
eraser,[i5reizE],"n.擦除器, 尤指墨水消除剂, 橡皮"
excuse,[iks5kju:z],"vt.原谅, 申辩, 做为...的托辞, 为...免去//n.饶恕, 致歉, 理由, 口实, 借口, 清借条, 免去"
excuse me,[],int.对不起
fan,[fAn],"n.扇子, 鼓风机, 风扇, 迷, 狂热者, 爱好者//vt.煽动, 刺激, 扇, 吹拂//vi.飘动, 成扇形散开"
father,[5fB:TE],"n.父亲, 岳父, 公(丈夫的父亲), 祖先, 前辈, 长辈, 神父, 创始者//vt.当...的父亲, 保护, 创立, 治理, 发明, 培养"
