Friday,[5fraidi],n.星期五
Harbin,[`hB:rbin],哈尔滨[黑龙江省]
Monday,[5mQndi; 5mQndei],n.星期一
PE,[],abbr. 体育课；体能训练 (physical education)重要日子
Saturday,[5sAtEdi],n.星期六
Sunday,[5sQndi],n.星期日
Sydney,[5sidni],"n.悉尼[雪梨](澳大利亚东南部港市,新南威尔士州首府)的"
That's great!,[],好极了! 太好了!
Thursday,[5WE:zdi],n.星期四
Tuesday,[5tju:zdi],n.星期二
Wednesday,[5wenzdei; 5wenzdi],n.星期三
What's wrong with...,[],…有什么不适吗?
actor,[5AktE],"n.男演员, 行动者, 参与者"
after school,[],adv.放学后
all right,[],"adv.好, 良好, 顺利, 确实"
ask,[B:sk],"vi.询问, 问, 要求//vt.问, 要求, 需要, 邀请"
bad,[bAd],"adj.劣质的, 有害的, 坏的, 不利的, 不健康的, 严重的"
be bad for,[],有害于
be going to (do),[],将要，打算
be out,[],"不在, 公开"
bed,[bed],"n.床, 基础, 路基, 河底, 海底, 一堆, 一层//vt.安置, 嵌入, 使睡, 栽种//vi.上床, 分层"
bus driver,[],n.公交车司机
can,[kAn; kEn],"vt.装进罐中, 把食品装罐//n.罐头, 铁罐//conj.能, 可以"
card,[kB:d],"n.纸牌, 卡片"
certainly,[5sE:tEnli],"adv.的确, (口语)当然, 行"
cinema,[5sinimE],"n.电影院, 电影"
classroom,[5klB:srum],n.教室
cloudy,[5klaudi],"adj.多云的, 阴天的, 阴沉"
cold,[kEuld],"n.寒冷, [物]零下温度, 伤风, 感冒//adj.寒冷的, 使人战栗的, 冷淡的, 不热情的, 失去知觉的"
come in,[],"v.进来, 到达终点, 流行起来, 当选, (钱)到手"
cook,[kuk],"n.厨师//v.烹调, 煮, 伪造"
cool,[ku:l],"n.凉爽, 凉爽的空气//adj.凉爽, 冷静的, 无所顾虑的, 淡漠的//v.使冷, 使镇定"
dad,[dAd],"n.爸爸, 爹爹"
day,[dei],"n.天, 白天, 日子, 白昼, 黎明, 工作日, 节日, 重要日子"
dentist,[5dentist],n.牙科医生
do,[dEu],"v.做, 实行, 尽力, 给予, 可用, 制作, 算出, 解答//[域] Dominican Republic , 多米尼加共和国"
doctor,[5dCktE],"n.医生, 博士, [古]学者, <俚>修理师//vt.授以博士学位, 诊断, 修改, <美>治疗, 搀混(食物、饮料), 修改//vi.行医"
dollar,[5dClE],"n.元, 美元"
down,[daun],"adj.向下的//adv.向下, 在下面, 下去, 降下//prep.往下, 沿着//n.绒毛, 软毛, 开阔的高地"
driver,[5draivE],"n.驾驶员//n.[计] 驱动器, 驱动程序//n.[机]起子, 主动轮, 传动器"
eye,[ai],"n.眼睛, 视力, 眼光, 观点, 见解, 眼状物, 风吹来的方向, [气]风眼//vt.看, 注视, 在...上打眼"
floor,[flC:; flCE],"n.(房间, 走廊等的)地面, 地板, 基底, (室内的)场地, 层, 海底, 议员席//vt.在...上铺(地板), 击倒, (被困难)难倒"
fly,[flai],"n.苍蝇, 两翼昆虫, 飞行//vi.飞翔, 飘扬, 溃逃//vt.飞越, 使飘扬, 逃脱//adj.机敏的, 敏捷的"
get ready,[],v.准备好
