April,[5eiprEl],n.四月(略作Apr):50
August,[5C:gEst],n. 八月
Beijing Opera,[],京剧
Come on!,[],请！赶快！加油！来吧！
February,[5februEri],"n.二月(略作Feb)责, 职务, 税"
Follow me,[],"please."",请跟我来。"
July,[dVu(:)5lai],n.七月(略作Jul):5
March,[mB:tF],n. 三月
May,[mei; me],"梅(姓氏, 女子名, Mary的昵称)// 五月"
My pleasure.,[],没什么。(回答感谢用语)
T-shirt,[5ti:7FE:t],n.圆领汗衫
That's all right.,[],不必谢。
Women's Day,[],妇女节
about,[5Ebaut],"adv.附近, 大约, 转向, 左右, 周围//prep.在附近, 关于, 在...周围, 忙于"
all right,[],"adv.好, 良好, 顺利, 确实"
anybody,[5eni7bCdi],"pron.任何人, 重要人物"
at the weekend,[],在周末
at weekends,[],在周末
autumn,[5C:tEm],"n.秋天, 成熟期, 渐衰期"
begin,[bi5gin],"v.开始, 首先"
bought,[bC:t],vbl.buy的过去式和过去分词//adj.买来的
box,[bCks],"n.盒子, 箱, 包厢, 岗亭, 一拳//v.装...入盒中, 打耳光, 拳击"
boxing,[5bCksiN],n.拳击
camera,[5kAmErE],n.照相机
candle,[5kAndl],n.蜡烛//vt.对着光检查
check,[tFek],"n.阻止, 制止, 控制, 阻止物, 支票, 检讫的记号, 饭馆的帐单//vt.检查, 制止, 核对, 寄存, 托运//vi.证明无误, 核对无误, 逐项相符, [象棋]将军"
check one's homework,[],批改作业
city,[5siti],"n.城市, 都市, 全体居民, 城邦"
clear,[kliE],"adj.清楚的, 清晰的, 清澈的, 光亮的, 空旷的, 有条理的//adv.清楚地, 完全地//v.扫除, 清除, 晴, 跳过, 净得"
color,[5kQlE],"n.<美>(=colour)颜色, 色彩, 脸色, 风格, 外貌//vt.给...涂颜色, 改变...的颜色, 粉饰, 脸红, 歪曲//vi.获得颜色, 变色"
colour,[5kQlE],"n.<英>(=color)颜色, 气色, 风格, 外貌//vt.把...涂颜色, 粉饰, 脸红, 歪曲//vi.变色"
coloured,[5kQlEd],"adj.有彩色的, 有色的"
come on,[],"v.突然产生, 要求, 成为...负担, 偶遇, 跟着来, 开始, 出台, 上演//快点,赶快"
dizzy,[5dizi],"adj.(指人)晕眩的, 昏乱的, (指地点, 情况)使人晕眩的"
drink,[driNk],"n.饮料, 酒, 酗酒, 一口(或一些)饮料//v.喝, 喝酒, (植物、土壤等的)吸水, 举杯庆贺"
drive,[draiv],"n.驾车, 驱动器, 快车道, 推进力, 驱使, 动力, 干劲, 击球//vt.开车, 驱赶, 推动、发动(机器等), 驾驶(马车,汽车等)//vi.开车, 猛击, 飞跑//n.[计]驱动器"
duty,[5dju:ti],"n.义务, 责任, 职责, 职务, 税"
every,[5evri],"adj.每一的, 每个的, 全部的, 每隔...的"
every day,[],每天
face,[feis],"n.脸, 面容, 表情, 威信, 正面, 地形, 外观//vt.面对, 面向, 面临, 承认, 抹盖//vi.朝, 向"
family,[5fAmili],"n.家庭, 家族, 家属, 亲属, 子女, 僚属//adj.家庭的, 家族的"
feet,[fi:t],"n.脚,(foot的复数), 英尺, 韵脚"
fix,[fiks],"vt.使固定, 装置, 修理, 准备, 安装, 凝视, 整理, 牢记//vi.固定, 注视, 决定, 选定, 确定//n.困境, 方位, 贿赂"
follow,[5fClEu],"vt.跟随, 追随, 沿...而行, 理解, 遵循, 从事, 追求, 注视//vi.跟随, 接着//n.跟随, 追随"
foot,[fut],"n.足, 底部, 英尺, 音步(英诗), 步调, 步兵, 末尾//vt.走在...上, 支付, 给...换底, 结算//vi.步行, 跳舞, 总计"
front,[frQnt],"n.前面, 开头, 前线, (政治上的)阵线, 态度, 外表//vt.面对, 朝向, 对付//vi.朝向"
get home,[],v.回家
go for,[],"v.去找, 努力获取, 被认为, 主张, 拥护"
go for a walk,[],v.散步
go for an outing,[],去郊游
go shopping,[],去买东西
had,[hAd; hEd; Ed],vbl.have 的过去式和过去分词//conj.有
hair,[hZE],"n.头发, 毛发, 毛状物, 绒毛, 些微"
have a good time,[],v.过得快乐
holiday,[5hClEdi; 5hClidei],"n.假日, 节日, 假期"
in front of,[],adv.在...前面
in front of...,[],在…的前面
little,[5litl],"n.少许, 一会儿, 短时间//adj.很少的, 矮小的, 短暂的, 琐碎的//adv.很少, 稍微, 完全不"
look,[luk],"n.看, 注视, 脸色, 面容, 外表//vi.看, 注意, 朝着, 好象, 显得//vt.打量, 注视, 用眼神(或脸色)表示, 期待"
look like,[],"像..., 似...,外表特征是"
nearest,[5niErist],adj.最近的
on duty,[],"adv.值班, 上班"
opera,[5CpErE],n.歌剧
orange,[5CrindV],"n.柑, 桔, 橙, 橙色"
outing,[5autiN],"n.外出, 旅行, 散步"
