""say Hello"" to,[],向…问好
""say Hi"" to,[],向…问好
AD,[5ei5di],公元
Abraham Lincoln,[5eibrEhAm 5liNkEn],亚伯拉罕.林肯
Allen,[Alin],阿伦(男名)
Amy,[5eimi],艾米(女名)
BC,[5bi:5si:],公元前
Ball,[bC:l],鲍尔(姓)
Barcelona,[7ba:si5lEunE],巴塞罗纳(西班牙城市)
Betty,[5beti],贝蒂(女名)
Bob,[bCb],鲍勃(男名)
British,[5britiF],a.英国的；英国人的
Bush House,[],布什大厦 BBC办公大楼
CAAC,[],中国民航
Carl,[ka:l],卡尔(男名)
Carl Lewis,[5ka:l5lj(u:)is],卡尔·刘易斯
Charlie,[5tFa:li],查利(男名)
Christopher Columbus,[5kristEfE kE5lQmbEs],克里斯托夫·哥伦布
Europe,[5juErEp],n.欧洲
European,[juErE5pi:En],a.欧洲的；欧洲人
Florida,[5flCridE],佛罗里达(美国州名)
Greece,[gri:s],n.希腊
Harry,[5hAri],哈里(男名)
Indian,[5indiEn],a.(美州)印第安人的
Jackie,[5dVAki],杰基(男名)
Jenny,[5dVeni],詹妮(女名)
John Denver,[5dVCn 5denvE],约翰·丹沃(美国歌手)
Ken,[ken],肯(男名)
Kentucky,[kEn5tQki],肯塔基(美国州名)
Klarke,[kla:k],克拉克(男名)
Los Angeles,[lCs5AndVili:z],洛杉矶(美国城市)
Mick,[mik],米克(男名)
Mozart,[5mEuza:t],莫扎特
Nashville,[5nAFvil],纳什维尔(美国地名)
Olympic,[E5limpik],a.奥林匹克的
Olympic Games,[],奥林匹克运动会
Pacific,[pE5sifik],n.太平洋
Paul,[pC:l],保罗(男名)
Rik,[rik],里克(男名)
San Francisco,[7sAnfrEn5siskEu],n.旧金山(美国港市)
Sara,[5sZErE],萨拉(女名)
Spanish,[5spAniF],a.西班牙的 n.西班牙语
Steve,[sti:v],史蒂夫(男名)
Tangsa,[5ta:NsE],坦萨(印度地名)
Tennesse,[7tenE5si:],田纳西(美国州名)
Tibet,[ti5bet],n.西藏
Tom Grade,[],汤姆·格雷特(男名)
a great many,[],很多的；相当多的
a number of,[],许多
a place of interest,[],名胜
a waste of,[],浪费；白费
abroad,[E5brC:d],ad.(在)国外
actor,[5AktE],n.男演员
advice,[Ed5vais],n.劝告；忠告；建议
aeroplane,[5eErEplein],n.飞机
agree on,[],商定；决定；达成共识
airport,[5eEpC:t],n.机场，航空站
all kinds of,[],各种各样的
allow,[E5lau],vt.允许，准许
although,[C:l5TEu],conj.尽管，虽然
and so on,[],等等
anger,[5ANgE],n.怒，愤怒
appear,[E5piE],vi.出现
area,[5eEriE],n.地区，区域
as a result,[],结果
ask...for,[],询问；向…要
at least,[],至少
at one time,[],以前；曾经
athlete,[5AWlit7 5AWli:t],n.田径运动员
bank,[bANk],n.(河，海，湖的)堤，岸
basin,[5beisEn],n.脸盆；水盆
be about to,[],即将
be made from,[],由…制造
be tired of,[],厌烦做某事
bean,[bi:n],n.豆；豆科植物
beancurd,[5bi:nkE:d],n.豆腐
beat...to death,[],打死
beauty,[5bju:ti],n.美丽
because of,[],因为；由于
beer,[biE],n.啤酒
begin...with,[],从…开始
believe,[bi5li:v],vt.&vi.相信；认为
biology,[bai5ClEdVi],n.生物学
blood,[blQd],n.血，血液
boil,[bCil],vi.&vt.煮
bone,[bEun],n.骨，骨头
bookstore,[5bukstC:],n.书店
bowl,[bEul],n.碗
boyfriend,[5bCifrend],n.男朋友
break away from,[],脱离…
break out,[],(战争等)突然发生
break the rule,[],违反规定
bring down,[],降低
bring in,[],引进；引来；吸收
broadcast,[5brC:dkB:st],vt.广播
burn,[bE:n],vt.晒(干)
but,[bQt],prep.除了
butter,[5bQtE],n.黄油
by sea,[],乘船
by the side of,[],在…附近
call for,[],要求；号召；约请
castor,[5kB:stE],n.蓖麻
cent,[sent],n.分
centimetre,[5senti7mi:tE],n.公分，厘米
certain,[5sE:tEn],a.某种；一定的
change...into,[],把…变成；转换成
channel,[5tFAnEl],n.水渠
character,[5kAriktE],n.(汉)字；字体
cheese,[tFi:z],n.奶酪
chemistry,[5kemistri],n.化学
civil,[5sivEl],a.国内的
coffee,[5kCfi],n.咖啡
come about,[],发生；产生
company,[5kQmpEni],n.公司
compete,[kEm5pi:t],vi.比赛；竞赛
competition,[7kCmpi5tiFEn],n.竞争，比赛
competitor,[kEm5petitE],n.竞赛者；比赛者
complete,[kEm5pli:t],vt.完成；结束
consider,[kEn5sidE],vt.考虑
consider doing sth,[],考虑做某事
consider...as,[],(把某人)看作…
cookbook,[5kukbuk],n.食谱；烹饪书
corn,[kC:n],n.谷物；玉米
correct,[kE5rekt],a.正确的；对的
cousin,[5kQzEn],n.堂(或表)兄弟(姐妹)
cream,[kri:m],n.奶油，乳脂
crop,[krCp],n.庄稼
cupboard,[5kQbEd],n.器皿柜
cut off,[],切断
dark,[dB:k],n.黄昏；黑暗
dawn,[dC:n],n.黎明；拂晓
death,[deW],n.死
decision,[di5siVEn],n.决定，决心
destroy,[di5strCi],vt.破坏；毁坏
difficulty,[5difikElti],a.困难；费力
dip,[dip],vt.浸，蘸
direct speech,[],直接引语
discover,[dis5kQvE],vt.发现
earthquake,[5E:Wkweik],n.地震
eat up,[],吃完；吃光
electrical,[i5lektrikEl],a.电的，电气的
electricity,[i7lek5trisiti],n.电；电流
employ,[im5plCi],vt.雇用
enemy,[5enimi],n.敌人；敌军
equipment,[i5kwipmEnt],n.装备，设备
every two years,[],每两年
exciting,[ik5saitiN],a.令人兴奋的
experiment,[ik5sperimEnt],n.实验
explain,[ik5splein],vt.&vi.解释；说明
explanation,[7eksplE5neiFEn],n.解释，说明
expression,[ik5spreFEn],n.词句；表达
fact,[fAkt],n.事实；实际
fall,[fC:l],n.(美)秋季
fall off,[],跌落；下降
far away,[],远离的；遥远的
feed,[fi:d],vt.喂(养)；饲(养)
fetch,[fetF],vt.&vi.去取；去拿
fight,[fait],n.斗争；战斗
finally,[5fainEli],ad.最后；最终
firewood,[5faiEwud],n.木柴；柴火
first of all,[],首先
for a while,[],暂时；一时
for ever,[],永远
form,[fC:m],n.形式；结构；表格
free,[fri:],a.免费的
freedom,[5fri:dEm],n.自由
fresh,[freF],a.新鲜的
fun,[fQn],n.有趣的事；玩笑；娱乐
future,[5fju:tFE],n.将来
gap,[gAp],n.缺口；空白处
gas,[gAs],n.煤气；气油；天然气
general,[5dVenErEl],a.大体的；笼统的
general idea,[],大意
geography,[dVi5CgrEfi],n.地理；地理学
get along with,[],与…相处
get back,[],回来；返回
girlfriend,[5gE:lfrend],n.女朋友
give advice,[],提建议
go away,[],走开；离开
go on doing,[],继续干某事
go up,[],上涨；上升
gold,[gEuld],a.金的；黄金的
grammar,[5grAmE],n.语法
greatly,[5greitli],ad.很；非常
grow up,[],生长
guide,[gaid],n.导游者；向导
guitar,[gi5tB:],n.吉他，六弦琴
hand in,[],交上来；递交
have a good trip,[],一路顺风！
have sports,[],进行体育运动
help oneself to,[],自用(食物等)
honest,[5Cnist],a.诚实的；正直的
horse-riding,[],骑马
hotel,[hEu5tel],n.旅馆；饭店
however,[hau5evE],然而；可是；尽管如此
howl,[haul],vi.嚎叫；嚎哭
ice cream,[],n.冰激凌
illness,[5ilnis],n.病，疾病
impossible,[im5pCsEbEl],a.不可能的
improve,[im5pru:v],vt.改进；更新
in all,[],总计
in fact,[],事实上；实际上
in modern times,[],现代；近代
in one's opinion,[],依照某人的看法
in order to,[],为了
in the past,[],(在)过去
indirect speech,[],间接引语
information,[7infE5meiFEn],n.信息
instead of,[],代替
interest,[5intrist],n.兴趣；趣味
international,[7intE5nAFEnEl],a.国际的
introduce,[5intrE5dju:s],vt.介绍
invite,[in5vait],vt.邀请；招待
job,[dVCb],n.工作
join up,[],联合起来；联接起来
junior,[5dVu:niE],a.初级的
just now,[],刚才
keep a record,[],作记录
kitchen,[5kitFin],n.厨房
law,[lC:],n.法律，法令
lawyer,[5lC:jE],n.律师
leader,[5li:dE],n.领袖，领导人
learner,[5lE:nE],n.学习者；初学者
least,[li:st],n.最少量；最少
line,[lain],n.线；排；行
lively,[5laivli],ad.活泼的；充满生机的
lovely,[5lQvli],a.可爱的；美好的
mail,[meil],n.邮政；邮递
make a decision,[],作出决定
make a plan for,[],为…作计划
make a record,[],录制唱片
make fun of,[],取笑某人
measure,[5meVE],vt.&vi.量
medal,[5medl],n.奖章；奖牌
medicine,[5medsEn],n.医学
mile,[mail],n.英里
minibus,[5minibQs],n.小型公共汽车
mix,[miks],vt.&vi.混合；搅和
mixture,[5mikstFE],n.混合物
more or less,[],或多或少
motto,[5mCtEu],n.箴言；格言
movement,[5mu:vmEnt],n.动作，活动
movie,[5mu:vi],n.电影
necessary,[5nesisEri],a.必要的；必需的
neighbour,[5neibE],n.邻居；邻人
newspaper reporter,[],新闻记者
no more than,[],不过；仅仅
notice,[5nEutis],n.通知；布告
obey,[E5bei],vt.顺从；服从
of one's own,[],属于某人自己的
offer,[5CfE],vt.提供
oil,[Cil],n.油
on holiday,[],休假；渡假
on the air,[],(用无线电，电视)播送
on the radio,[],通过收音机；通过广播
once,[wQns],adv.一旦；一…就
once again,[],再一次
onto,[5Cntu7 -tE],prep.到…上面
operate,[5CpEreit],vi.&vt.实施；负责
opinion,[E5pinjEn],n.见解；看法
oral,[5C:rEl],a.口头的；口述的
owner,[5EunE],n.物主；所有人
pancake,[5pANkeik],n.薄煎饼
parrot,[5pArEt],n.鹦鹉
partner,[5pB:tnE],n.搭档，合作者
passenger,[5pAsindVE],n.乘客；旅客
pattern,[5pAtn],n.型；式样
petrol,[5petrEl],n.汽油
phrase,[freiz],n.短语；习惯用语
physics,[5fiziks],n.物理学
pick up,[],接收
plan,[plAn],n.计划，打算
plate,[pleit],n.板(块)
plenty,[5plenti],n.充足的；相当多的
plenty of,[],充足的；相当多的
point,[pCint],n.点；分数
political,[pE5litikEl],a.政治的
politics,[5pClitiks],n.政治
pop music,[],流行音乐
pop star,[],流行歌手；歌星
port,[pC:t],n.港口；码头
powder,[5paudE],n.粉末；粉
practice,[5prAktis],n.实践；练习
prepare,[pri5peE],vt.准备；调制；配制
president,[5prezidEnt],n.总统
price,[prais],n.价格，价钱
prize,[praiz],n.奖赏，奖品
programme,[5prougrAm],n.节目，程序
project,[prE5dVekt7 5prCdVekt],n.工程
pronounce,[prE5nauns],vt.发音
pronunciation,[prE7nQnsi5eiFEn],n.发音
proper,[5prCpE],a.合适的；恰当的
province,[5prCvins],n.省
pump,[pQmp],vt.用泵抽水
punish,[5pQniF],vt.&vi.处罚，惩罚
purpose,[5pE:pEs],n.目的；意图
put up,[],贴(广告等)
quake,[kwek7 kweik],n.震动；颤抖
railway,[5reilwei],n.铁路
raincoat,[5reinkEut],n.雨衣
reason,[5ri:zEn],n.理由；原因
recently,[5ri:sEntli],ad.近来
record,[5rekC:d7 ri5kC:d],n.记录 vt.记录；记载
regards,[ri5gB:dz],n.问候；致意
remain,[ri5mein],vt.余下；留下
repair,[ri5peE],vt.&vi.修理
reply,[ri5plai],n.回答，答复
reporter,[ri5pC:tE],n.记者，通讯员
request,[ri5kwest],n.请求，要求的事物
restaurant,[5restErCnt],n.饭馆
result,[ri5zQlt],n.结果
revision,[ri5viVEn],n.复习；温习
room,[ru:m],n.空间；地方
rule,[ru:l],n.规则；规定
sadly,[5sAdli],ad.痛心的；伤心的
sailing,[5seliN7 5seiliN],n.航海
school-leaver,[5sku:5li:vE],n.学校毕业生
scientist,[5saiEntist],n.科学家
second,[5sekEnd7 si5kCnd],n.秒
secret,[5si:krit],n.秘密
see...off,[],为某人送行
seed,[si:d],n.种子
separate,[5sepEreit],a.单独的；各自的
service,[5sE:vis],n.服务
set,[set],vt.释放
set up,[],建立；创建
set...free,[],释放(某人)
shade,[Feid],n.荫凉处；树荫
shake,[Feik],vt.&vi.震动；摇动
sharp,[FB:p],a.锋利的；尖的
ship,[Fip],vi.用船装运
shooting,[5Fu:tiN],n.射击
short-wave,[],n.短波
shut,[FQt],vt.&vi.关上；关闭
sight,[sait],n.情景；风景
slave,[sleiv],n.奴隶
slavery,[5sleivEri],n.奴隶制度
so that,[],以便；以致；结果是
soap,[sEup],n.肥皂
society,[sE5saiEti],n.社会
soil,[sCil],n.土壤；土地
sound,[saund],vi.&vt.发出声音
sound lab,[],语言实验室
soup,[su:p],n.汤
sow,[sau],vt.播种
spare,[speE],a.空闲的；多余的
spare time,[],空余时间；业余时间
special,[5speFEl],a.特别的；专门的
spend...doing sth,[],做…花费
spend...on,[],在…花费(钱)
state,[steit],n.国家；(美国的)州
stay up,[],挺住；站立
store,[stC:],n.商店；大百货商店
stranger,[5streindVE],n.陌生人；外人
success,[sEk5ses],n.成功
successful,[sEk5sesfEl],a.成功的；有成就的
such as,[],例如
suck,[sQk],vt.吮吸；舔食
suggest,[sE5dVest],vt.建议；提议
summary,[5sQmEri],n.摘要；概要
