Alaska,[E5lAskE],"n.阿拉斯加州(美国州名)鞯? 暴风雨的, 恶劣的(天气)vt.弄脏//vi.变"
Arab,[5ArEb],adj.阿拉伯的//n.阿拉伯人
As well,[],"倒不如, 还是...的好// 最好...还是(It will be As well to stop that young screamer. 但是最好还是让那个大哭大叫的孩子住声。)"
Asian,[5eiFEn],"adj.亚洲的, 亚洲人的//n.亚洲人"
Bear Country,[],熊国
Bengal,[beN5gC:l],n.孟加拉
Bhopal,[],n.博帕尔(印度城市)
Business Weekly,[],每周商刊
California,[kAli5fC:njE],"n.加利福尼亚, 加州"
Charlie Chaplin,[5tFa:li5tFeplin],查理.卓别林
Chicago,[Fi5kB:gEu],n.芝加哥（美国中西部一大城市）
Cousins,[],卡曾斯(姓)
Dean,[di:n],n. 迪安（男子名）
Disney World,[],迪斯尼世界
Disney world,[],n.迪斯尼世界
Disneyland,[5dizni7lAnd],n.迪斯尼乐园
Donald Duck,[],唐老鸭
Euro Disney,[],欧洲迪斯尼
Good heavens!,[],天哪！
Green Park Zoo,[],绿园动物园
Hank,[],汉克(男名)
Inuit,[],adj.因纽特人的
Jo,[dVEu],"乔(Joseph, Josephine的简称)"
Kansas City,[],n.堪萨斯城(美国城市)
Kew Gardens,[],凯尤.加登斯
Lake Baikal,[],贝加尔湖
Mark Twain,[5mB:k5twein],"n.马克·吐温(1835-1910,美国小说家)为"
Mickey Mouse,[],n.米老鼠
Ottawa,[5CtEwE],"n.渥太华(加拿大城市)vt.轻打, 轻敲, 敲打出, 开发, 分接, 使流出,"
Puerto Rico,[5pwE:tEu5ri:kEu],n. 波多黎各
Russia,[`rQFE],"n.俄国, 俄罗斯, 苏联"
Snow White,[],白雪公主
Switzerland,[5switsElEnd],n.瑞士(欧洲中部国家)缬
Syd,[],西德(男名)
Tod,[],托德(男名)
Walt Disney,[],"n.沃特全角的分隔符, 迪斯尼"
a great deal of,[],很多
accent,[5AksEnt],"n.重音, 口音, 重音符"
act,[Akt],"n.幕, 法案, 法令, 动作, 举动, 节目, (戏剧的)幕//vi.行动, 产生...的效果, 担当, 表演, 假装, 表现, 见效//vt.扮演, 装作"
actress,[5Aktris],n.女演员
add,[Ad],"vt.增加, 添加, 计算...总和, 补充说, 又说//vi.加, 加起来, 增添, 做加法"
add...to,[],把…加到…上
advertisement,[Ed5vE:tismEnt],"n.广告, 做广告"
afford,[E5fC:d],"vt.提供, 给予, 供应得起"
agreement,[E5gri:mEnt],"n.同意, 一致, 协定, 协议"
ahead,[E5hed],"adj.adv.在前, 向前, 提前, 在前面"
aid,[eid],"n.帮助, 援助, 帮助者, 有帮助的事物//vt.资助, 援助, 帮助"
all the year round,[],adv.一年到头
altogether,[7C:ltE5geTE],"adv.完全地, 总而言之"
anxious,[5ANkFEs],"adj.观念的, 担忧的, 渴望的, 盼望的"
apologize,[E5pClEdVaiz],"vi.道歉, 辩白"
appearance,[E5piErEns],"n.出现, 露面, 外貌, 外观"
area,[5ZEriE],"n.范围, 区域, 面积, 地区, 空地"
as if,[],adv.好象
as well,[],也；又
assistant,[E`sistEnt],"n.助手, 助教//adj.辅助的, 助理的"
at the bottom,[],在底端
attack,[E5tAk],"n.进攻, 攻击, (用语言)抨击, 批评, 疾病发作, 侵袭//vt.攻击, 抨击, 动手处理(某事)//vi.攻击"
attract,[E5trAkt],"vt.吸引//vi.有吸引力, 引起注意"
average,[5AvEridV],"n.平均, 平均水平, 平均数, 海损//adj.一般的, 通常的, 平均的//vt.平均为, 均分, 使平衡, 达到平均水平//vi.买进, 卖出"
awake,[E5weik],"vi.醒, 觉醒, 领会, 觉悟//vt.唤醒//adj.警觉的, 醒的"
baggage,[5bAgidV],"n.行李, [军] 辎重"
ban,[bB:n],"n.禁令//vt.禁止, 取缔(书刊等)"
bank,[bANk],"n.银行, 堤, 岸, 沙洲, 浅滩, 一堆(土), (云)层, 储藏所(库)//vt.存(款)于银行, 储蓄, (车或飞机)倾斜转弯"
basic,[5beisik],"n.基本, 要素, 基础//adj.基本的, 碱性的//n.[计]BASIC语言, 基本高级语言"
bath,[bB:W],"n.沐浴, 浴室"
be anxious about,[],"v.渴望, 担忧"
be famous for,[],因...而著名
be fit for,[],适合于
be uncertain about,[],对…不确定
be used to,[],v.过去习惯于
bear,[bZE],"n.熊//v.负担, 忍受, 带给, 具有, 挤, 向"
beard,[biEd],n.胡须
bend,[bend],"v.弯曲, 专心于, 屈服//n.弯曲"
besides,[bi5saidz],adv.此外//prep.除...之外
bill,[bil],"n.帐单, 钞票, 票据, 清单, 议案, 法案, 广告//vt.用海报宣传, 把...列成表, 给...开帐单"
bite,[bait],"n.咬, 咬伤, 一口, 刺痛//v.咬, 刺痛//abbr.[军] Built-In Test Equipment, 机内测试设备"
blanket,[5blANkit],n.毯子//vt.覆盖
bleed,[bli:d],"v.使出血, 放血"
