Alabama,[7AlE5bAmE],n.阿拉巴马州(美国的一个州)激发
Albert Einstein,[5AlbEt5ainstain],艾伯特·爱因斯坦
Alexander Bell,[7Alig5zB:ndE],亚历山大·贝尔
Antarctica,[Ant5B:ktikE],n.南极洲
Atlanta,[Et5lAntE],亚特兰大[美国佐治亚州首府]
Atlantic,[Et5lAntik],n.大西洋//adj.大西洋的
Bastille,[bAs5ti:l],n.巴士底狱
Beethoven,[5beitEuvEn],"n.贝多芬(1770-1827,德国大作曲家)"
Birmingham,[5bE:miNE m],"n.伯明翰(城市名,有二,其一在美国阿拉巴马州中北部,另一在英格兰中部) 冲锋, 收费"
Bonn,[bCn],"n.波恩(原西德首都,位于莱茵河畔)示"
Cambridge,[5keimbridV],"n.剑桥(英国城市, 剑桥大学所在地)翻, 激发"
Charles Darnay,[5tFB:lz5dB:ni],查尔士·达尼(人名)
Civil Rights Act,[],民权法案
Defarge,[dE5fB:V],德法奇(姓)
Dr Watson,[5wCtsn],华生医生
Frankfort,[5frANkfEt],"(=Frankfort on the Main 或[德]Frankfurt am Main)法兰克福(莱因河畔的西德城市)?vi.追踪, 留下足迹, 走"
Georgia,[5dVC:dVjE],"n.乔治亚州(在美国南部,首府在Atlanta), 乔治亚苏维埃社会主义共和国(位于前苏联高加索南部), 冲锋, 收"
Hank Stram,[5hANk5strAm],汉克·斯特拉坶(人名)
Hitler,[5hitlE],"n.希特勒(纳粹德国独裁者,1889-1945)? 标准, 控制"
Jew,[dVu:],"n.犹太人, 犹太教徒"
Jordan,[5dVC:dn],"n.约旦(位于西南亚的国家), 约旦河"
Kennedy,[5kenidi],n.肯尼迪
Lucie Manette,[5lu:si mE5net],露西·曼奈特(人名)
Max,[mAks],n. 马克斯（男子名）
Philadelphia,[7filE5delfjE],n.费城(美国宾西法尼亚州东南部港市)喜
Rosa Parks,[5rEuzE5pB:ks],罗莎·帕克斯(女名)
Sherlock Holmes,[],n.福尔摩斯[名侦探]
Sputnik,[5spQtnik],n.前苏联人造地球卫星
St.Evremonde,[snt evE5mCnd],圣·埃弗蒙德(人名)
Stephen Hawking,[5sti:vn5hC:kiN],斯蒂芬·霍金
Swiss,[swis],"n.瑞士人//adj.瑞士的, 瑞士人的"
Sydney Carton,[5sidni5kB:tEn],n.悉尼·卡尔顿(人名)
Tina,[5ti:nE],n. 蒂娜（女子名）
Voting Rights Bill,[],选举权法案
absence,[5AbsEns],"n.不在, 缺席, 缺乏, 没有"
