a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
abase,[E5beis],v.降低,a＋base（降低）→贬低，*同根词：debase（贬低）
abasement,[],n.降低, 
abashed,[E5bAFt],"adj.不安的,窘迫的",un（不）＋abashed（害臊的） 
abate,[E5beit],"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣;vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除",a＋bate（走，打）→走下去→减轻*同根词：rebate（回扣） 
abbess,[5Abis],"n.女修道院院长,女庵主持", 
abbey,[5Abi],"n.修道院,修道士（总称）", 
abbreviate,[E5bri:vieit],"v.缩写,缩短,简化,简写成,缩写为",ab＋brev（短）＋iate*同根词：brevity（简短）． 
abbreviation,[E7bri:vi5eiFEn],"n.缩写,缩写词",ab＋brev（短）＋iation*同根词：brevity（简短）． 
abdicate,[5Abdikeit],"v.退位,放弃(职位,权力等)",ab＋dic（说话，命令）＋ate→不再命令→退位*同根词：dictator（命令者，独裁者） 
abdomen,[5AbdEmEn;Ab5dEumEn],"n.腹,腹部", 
abduct,[Ab5dQkt],"vt.诱拐,绑架",ab＋duct（引导）→把人带走→绑架。*同根词：viaduct（高架桥） 
aberrant,[A5berEnt],adj.异常的,ab＋err（错误）＋ant→走向错误→越轨的*同根词：errant（错误的，离正轨的）． 
aberration,[7AbE5reiFEn],n.失常,ab＋err（错误）＋antion→走向错误→失常*同根词：errant（错误的，离正轨的）． 
abet,[E5bet],"vt.教唆,煽动,帮助,支持", 
abeyance,[E5beiEns],"n.暂时无效,中止,归属待定", 
abhor,[Eb5hC:],"vt.憎恶,痛恨",ab＋hor（恨，怕）组成。*同根词：horrible（可怕的） 
abject,[5AbdVekt],"adj.卑鄙的,可怜的",ab＋ject（抛扔）→抛掉的→可怜的*同根词：reject（抛弃，拒绝） 
ablaze,[E5bleiz],"adj.adv.着火的,激动的,闪耀的", 
abominable,[E5bCminEbl],"adj.讨厌的,令人憎恶的",ab＋omin＝omen（凶兆）＋able→痛恨（坏运气）*同根词：ominous（凶险的） 
abominate,[E5bCmineit],"vt.痛恨,憎恶",ab＋omin＝omen（凶兆）＋ate→痛恨（坏运气）*同根词：ominous（凶险的） 
aboriginal,[7AbE5ridVEnEl],"adj.土著的,原来的;n.土著居民",ab＋or＝ori（产生）＋ginal*同根词：oriental（东方的，上升的） 
abort,[E5bC:t],"vi.异常中断,中途失败,夭折,流产,发育不全;n.中止计划[任务]",ab＋ort＝ori（产生）→没有产生→无结果的*同根词：oriental（东方的，上升的） 
abortion,[E5bC:FEn],"n.流产,堕胎,失败,夭折,中止,早产",ab＋or＝ori（产生）＋tion→没有产生→无结果的*同根词：oriental（东方的，上升的） 
abortive,[E5bC:tiv],"adj.早产的,流产的,失败的;adj.夭折的,异常终止的,中断的",ab＋or＝ori（产生）＋ive→没有产生→无结果的*同根词：oriental（东方的，上升的） 
abrade,[E5breid],"v.磨损,摩擦,折磨",ab＋rade（磨擦），ras＝rad*同根词：erase（擦掉） 
abrasion,[E5breiVEn],n.磨损,ab+ras（磨擦）+ion*同根词：erase（擦掉） 
abrasive,[E5breisiv],n.研磨剂;adj.研磨的,ab＋ras（磨擦）+ive*同根词：erase（擦掉） 
abridge,[E5bridV],"v.删节,削减,精简",a＋bri（d）g＝brev（短）→弄短→删减联想*记忆：a＋bridge，一座桥把路缩短了 
abrogate,[5AbrEugeit],"vt.废除,取消",ab＋rog（问）＋ate→不再问→废除*同根词：interogative（审问的） 
abrupt,[E5brQpt],"adj.突然的,陡峭的,生硬的", 
abscess,[5Absis],"n.脓肿,砂眼", 
